Shipment Number,Container #,Bill Of Lading,,
0007731,FFAU1009427,YMLUW490402570,0007731-FFAU1009427,#N/A
0007356,TCNU4564914,ZIMUHAI80031213,0007356-TCNU4564914,Y
0007360,TCNU4564914,ZIMUHAI80031213,0007360-TCNU4564914,Y
0007498,TLLU4443549,ZIMUHAI80034305,0007498-TLLU4443549,Y
0007553,SEGU5332711,ZIMUHAI80035104,0007553-SEGU5332711,Y
0007553,TCNU4554285,ZIMUHAI80035104,0007553-TCNU4554285,Y
0007611,TGBU7240673,ZIMUNGB9704776,0007611-TGBU7240673,Y
0007611,TGHU9708791,ZIMUNGB9704776,0007611-TGHU9708791,Y
0007611,ZCSU7106355,ZIMUNGB9704776,0007611-ZCSU7106355,Y
0007611,ZCSU7381803,ZIMUNGB9704776,0007611-ZCSU7381803,Y
