Containers that do not have trackings,,,,
container_id,shipping_company,bill_of_lading,created_at,vizion_reference_id
MAGU5673462,YMLU,YMLUW425910533,2021-08-23 22:12:26 UTC,3dc4e7a1-b48b-4ed2-bf0f-20f86145d9f1
WHSU5347489,,WHLC040BX06135,2021-08-23 22:12:26 UTC,6a119ba9-1273-4682-8079-ff7e715e6c65
MAGU5548250,YMLU,YMLUW236597246,2021-08-23 22:12:26 UTC,a1e8f2ac-df02-4c40-8c26-45103b7be7ca
FFAU1009427,YMLU,YMLUW490402570,2021-08-23 22:12:26 UTC,a91934b8-4d5e-49f3-bdee-1e75ceeb4558
EGHU3413058,,CPWSIN-2107500,2021-08-23 22:12:26 UTC,cc27f84b-0cbd-4cd8-aaed-033dcfbf516a
FFAU1255225,YMLU,YMLUW425910629,2021-08-23 22:12:26 UTC,62aa1683-85dd-4716-8df2-f21eb911667d
BMOU5112330,,ELVG080100475009,2021-08-23 22:12:26 UTC,3e07d22b-1a8c-4414-af2d-0650dcee1d63
CAIU4566169,,GCNLCLAX10867400,2021-08-23 22:12:26 UTC,9532596a-8b85-431c-aa00-c5a034f73177
HMMU6298973,,GCNLCLAX10867400,2021-08-23 22:12:26 UTC,c02d8232-0779-4280-8e21-f52029c887da
BMSU2001430,,61C0102460,2021-09-09 14:00:05 UTC,8978c664-8308-43b0-8c79-30da3ea3149f
SLHU4500167,,PFSL21081051,2021-09-21 14:00:04 UTC,884ddbc4-b24f-4046-ba65-001a7cc3c22e
TGHU6989859,,UCMICMX56402,2021-09-16 21:00:05 UTC,0e141b25-9523-4405-99e5-02708e8b1d12
CSNU74991186,,UCMICMX56401,2021-09-16 21:00:05 UTC,0a9d445c-339b-42cc-a134-54618cde9261
SMCU1211816,,SHLGB210810101,2021-09-27 21:00:05 UTC,132f931c-0431-4562-a28e-018c009e1311
CRSU0401972,,AYLSA210917951,2021-09-29 14:00:05 UTC,d9483e8c-6e50-4d41-beaa-16199d4c247c
------------ Containers with No Tracking References -----------,,,,
