id,container_id,shipping_company,vizion_reference_id,vision_organization_id,bill_of_lading,latest_status,created_at,updated_at,finished_journey,uploaded
158,CSNU6117709,COSU,aa799fff-d405-4844-8261-810059503be3,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6305754130,,2021-07-30 21:00:05.30581,2021-07-30 21:36:19.707069,t,t
278,CSNU6400160,COSU,ef6f2caf-a90f-4731-adb2-9ff4d144c5be,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6307635570,,2021-08-05 21:00:05.217757,2021-08-05 21:30:47.074136,f,f
279,FFAU2879231,COSU,75b0fd5d-6ca4-437a-8437-a4eaad7a3dba,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6307635570,,2021-08-05 21:00:05.226505,2021-08-05 21:30:50.935815,f,f
280,KKTU7767126,ONEY,b87892fe-4ad8-47e8-afc8-bba383262dd4,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB16171500,,2021-08-05 21:00:05.512845,2021-08-05 21:30:54.178121,f,f
281,CSNU7240127,COSU,f61387f7-45b9-4564-9707-844136beb4c7,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308361750,,2021-08-05 21:00:05.531082,2021-08-05 21:30:57.434498,f,f
282,DFSU7347309,COSU,045d205c-f1b0-40b3-b8c1-8c7f2ca0d529,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308361750,,2021-08-05 21:00:05.539452,2021-08-05 21:31:00.759884,f,f
283,OOCU8457756,COSU,916d4bb6-3ae0-4a7c-b1c2-4a23a03cc62d,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6309241430,,2021-08-05 21:00:05.628783,2021-08-05 21:31:04.000995,f,f
284,FFAU2707788,COSU,e2abae1f-95c0-4527-96b3-acbaf1ed3716,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6309241430,,2021-08-05 21:00:05.637345,2021-08-05 21:31:07.264639,f,f
286,MRSU4492688,HDMU,1afcbaaf-9adc-4f72-81ea-aebc9d5088d7,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM24373201,,2021-08-07 21:00:04.312263,2021-08-07 21:30:06.322535,f,f
287,SMCU1192022,HDMU,af0d50dc-56dc-4b3f-b427-d6fac5673966,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM24373201,,2021-08-07 21:00:04.321636,2021-08-07 21:30:09.574226,f,f
288,HMMU6448456,HDMU,3afd3a10-aa84-4d9b-b41e-a2aae2e4821f,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM24373201,,2021-08-07 21:00:04.329964,2021-08-07 21:30:12.805824,f,f
289,KOCU4477261,HDMU,28ad55eb-f135-41e6-894f-89bdd9ba3884,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM24373200,,2021-08-07 21:00:04.345265,2021-08-07 21:30:16.060619,f,f
290,KOCU4566353,HDMU,a26a5cd1-59eb-44ec-a1dc-3336d03d13b9,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM24373200,,2021-08-07 21:00:04.353493,2021-08-07 21:30:19.331226,f,f
291,TCKU6183105,COSU,b335369c-12d0-4ddf-af65-18caed904f38,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6307299930,,2021-08-07 21:00:04.605676,2021-08-07 21:30:22.580633,f,f
292,CSNU7637011,COSU,de134070-110a-4f9d-b5e2-57871618823e,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6307299930,,2021-08-07 21:00:04.614289,2021-08-07 21:30:25.837588,f,f
293,OOLU8448663,COSU,3a5babf7-0d10-45b0-995d-bebe88bea454,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6307299930,,2021-08-07 21:00:04.622499,2021-08-07 21:30:29.074646,f,f
294,DFSU6317383,COSU,a9d0d61d-8e1a-433e-a11c-f0cd754148a3,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6307299930,,2021-08-07 21:00:04.630918,2021-08-07 21:30:32.503995,f,f
